,dt,temp,feels_like,pressure,humidity,dew_point,uvi,clouds,visibility,wind_speed,wind_deg,wind_gust,weather,pop,rain
0,1694278800,26.2,26.2,1011,89,24.24,0.0,63,10000,2.45,190,2.89,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",0.33,{'1h': 0.48}
1,1694282400,25.96,25.96,1011,93,24.74,0.0,75,10000,3.06,203,3.72,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",0.37,
2,1694286000,26.22,26.22,1011,89,24.26,0.0,71,10000,3.16,205,3.94,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",0.24,
3,1694289600,26.49,26.49,1010,86,23.96,0.0,65,10000,2.83,205,3.63,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",0.38,
4,1694293200,26.74,29.33,1010,82,23.41,0.0,61,10000,2.66,197,3.34,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",0.41,
5,1694296800,27.02,29.6,1010,78,22.85,0.0,49,10000,2.87,192,3.52,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",0.53,
6,1694300400,27.36,30.0,1010,75,22.63,0.0,39,10000,3.34,189,4.1,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",0.47,
7,1694304000,27.43,30.25,1011,76,22.81,0.49,39,10000,3.46,191,4.42,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",0.54,{'1h': 0.35}
8,1694307600,27.95,30.97,1011,73,22.73,2.23,11,10000,3.72,197,4.51,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",0.65,{'1h': 0.48}
9,1694311200,28.43,31.52,1012,70,22.47,5.44,38,10000,3.7,201,4.16,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",0.68,{'1h': 0.45}
10,1694314800,28.5,31.51,1012,69,22.41,9.34,58,10000,3.97,203,4.36,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",0.66,{'1h': 0.6}
11,1694318400,28.9,31.98,1011,67,22.11,12.1,69,10000,3.79,207,4.3,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",0.66,
